first_name,last_name,email,phone,department,job_title
Michael,Scott,michael.scott@dundermifflin.com,1111111111,Education,Regional Manager
Dwight,SCHRUTE,dwight.schrute@dundermifflin.com,2222222222,Sales,Assistant to the Regional Manager
Jim,Halpert,jim.halpert@dundermifflin.com,3333333333,Engineering,Software Engineer
Pam,Beesly,pam.beesly@dundermifflin.com,4444444444,Reception,Receptionist
Ryan,Howard,ryan.howard@dundermifflin.com,5558239102,Temps,Temp
Andy,Bernard,andy.bernard@dundermifflin.com,5553410984,Sales,Sales Representative
Robert,California,robert.california@dundermifflin.com,5559012345,Corporate,CEO
Stanley,Hudson,stanley.hudson@dundermifflin.com,5552348910,Sales,Sales Representative
Kevin,Malone,kevin.malone@dundermifflin.com,5557124309,Accounting,Accountant
Angela,Martin,angela.martin@dundermifflin.com,5558190243,Engineering,Software Engineer
Oscar,Martinez,oscar.martinez@dundermifflin.com,5554321098,Engineering,Software Engineer
Phyllis,Vance,phyllis.vance@dundermifflin.com,5556712349,Sales,Sales Representative
Toby,Flenderson,toby.flenderson@dundermifflin.com,5559810247,HR,HR Representative
Kelly,Kapoor,kelly.kapoor@dundermifflin.com,5551230987,Customer Service,Customer Service Representative
Darryl,Philbin,darryl.philbin@dundermifflin.com,5558765432,Warehouse,Warehouse Foreman
Creed,Bratton,creed.bratton@dundermifflin.com,5555019283,Quality Assurance,Quality Assurance
Meredith,Palmer,meredith.palmer@dundermifflin.com,5553109284,Supplier Relations,Supplier Relations
Erin,Hannon,erin.hannon@dundermifflin.com,5557193820,Reception,Receptionist
Gabe,Lewis,gabe.lewis@dundermifflin.com,5550928374,Corporate,Coordinating Director of Emerging Regions
Jan,Levinson,jan.levinson@dundermifflin.com,5554820193,Corporate,Vice President of Northeast Sales
David,Wallace,david.wallace@dundermifflin.com,5553928104,Corporate,CFO
Holly,Flax,holly.flax@dundermifflin.com,5558291047,HR,HR Representative
Charles,Miner,charles.miner@dundermifflin.com,5551928374,Corporate,Vice President of the Northeast Region
Jo,Bennett,jo.bennett@dundermifflin.com,5557283910,Corporate,CEO of Sabre
Clark,Green,clark.green@dundermifflin.com,5556201938,Sales,Sales Representative
Pete,Miller,pete.miller@dundermifflin.com,5559382019,Customer Service,Customer Service Representative
